id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q045,sgrep,Where is the OAuth dummy key constant defined?,packages/opencode/src/auth/index.ts,,0,861.57,0,
q045,rg,Where is the OAuth dummy key constant defined?,packages/opencode/src/auth/index.ts,,0,116.84,0,
q046,sgrep,Where does the model catalog load cached data or fallback defaults?,packages/opencode/src/provider/models.ts,,0,814.04,0,
q046,rg,Where does the model catalog load cached data or fallback defaults?,packages/opencode/src/provider/models.ts,,0,121.08,0,
q047,sgrep,Where is the project updated event declared?,packages/opencode/src/project/project.ts,,0,802.88,0,
q047,rg,Where is the project updated event declared?,packages/opencode/src/project/project.ts,,0,122.68,0,
q048,sgrep,Where are permission rules built from config values?,packages/opencode/src/permission/next.ts,2,1,819.48,0,
q048,rg,Where are permission rules built from config values?,packages/opencode/src/permission/next.ts,5,1,114.18,0,
q049,sgrep,Where does the question system handle user replies?,packages/opencode/src/question/index.ts,,0,832.2,0,
q049,rg,Where does the question system handle user replies?,packages/opencode/src/question/index.ts,,0,116.73,0,
q050,sgrep,Where is a random worktree name generated?,packages/opencode/src/worktree/index.ts,,0,868.91,0,
q050,rg,Where is a random worktree name generated?,packages/opencode/src/worktree/index.ts,,0,118.59,0,
