id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q040,sgrep,Where is Storage.write implemented?,packages/opencode/src/storage/storage.ts,,0,849.75,0,
q040,rg,Where is Storage.write implemented?,packages/opencode/src/storage/storage.ts,,0,80.5,0,
q041,sgrep,Where does worktree slugify names?,packages/opencode/src/worktree/index.ts,,0,841.03,0,
q041,rg,Where does worktree slugify names?,packages/opencode/src/worktree/index.ts,9,1,118.6,0,
q042,sgrep,Where is process tree termination handled on Windows?,packages/opencode/src/shell/shell.ts,1,1,839.4,0,
q042,rg,Where is process tree termination handled on Windows?,packages/opencode/src/shell/shell.ts,,0,117.46,0,
q043,sgrep,Where does LSP NearestRoot compute the project root?,packages/opencode/src/lsp/server.ts,1,1,874.07,0,
q043,rg,Where does LSP NearestRoot compute the project root?,packages/opencode/src/lsp/server.ts,1,1,119.27,0,
q044,sgrep,Where does CodeSearchTool request permission before calling Exa?,packages/opencode/src/tool/codesearch.ts,1,1,845.53,0,
q044,rg,Where does CodeSearchTool request permission before calling Exa?,packages/opencode/src/tool/codesearch.ts,,0,119.71,0,
q045,sgrep,Where is OAUTH_DUMMY_KEY defined?,packages/opencode/src/auth/index.ts,,0,1024.57,0,
q045,rg,Where is OAUTH_DUMMY_KEY defined?,packages/opencode/src/auth/index.ts,,0,78.03,0,
q046,sgrep,Where does ModelsDev.get read cached models or fall back to macro data?,packages/opencode/src/provider/models.ts,1,1,846.02,0,
q046,rg,Where does ModelsDev.get read cached models or fall back to macro data?,packages/opencode/src/provider/models.ts,,0,121.68,0,
q047,sgrep,Where is Project.Event.Updated defined?,packages/opencode/src/project/project.ts,,0,956.14,0,
q047,rg,Where is Project.Event.Updated defined?,packages/opencode/src/project/project.ts,,0,120.01,0,
q048,sgrep,Where is the permission ruleset built from config?,packages/opencode/src/permission/next.ts,,0,816.07,0,
q048,rg,Where is the permission ruleset built from config?,packages/opencode/src/permission/next.ts,5,1,164.15,0,
q049,sgrep,Where is Question.reply implemented?,packages/opencode/src/question/index.ts,,0,840.02,0,
q049,rg,Where is Question.reply implemented?,packages/opencode/src/question/index.ts,6,1,77.47,0,
q050,sgrep,Where is the worktree random name generated?,packages/opencode/src/worktree/index.ts,,0,849.24,0,
q050,rg,Where is the worktree random name generated?,packages/opencode/src/worktree/index.ts,,0,120.62,0,
