id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q020,sgrep,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,2,1,896.05,0,
q020,rg,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,,0,114.0,0,
q021,sgrep,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,1,1,913.5,0,
q021,rg,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,,0,114.76,0,
q022,sgrep,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,849.82,0,
q022,rg,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,115.37,0,
q023,sgrep,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,878.33,0,
q023,rg,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,120.42,0,
q024,sgrep,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,917.98,0,
q024,rg,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,114.98,0,
q025,sgrep,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,,0,867.63,0,
q025,rg,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,8,1,115.2,0,
q026,sgrep,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,4,1,849.61,0,
q026,rg,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,5,1,115.34,0,
q027,sgrep,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,829.78,0,
q027,rg,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,118.87,0,
q028,sgrep,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,1,1,842.4,0,
q028,rg,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,6,1,114.59,0,
q029,sgrep,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,872.09,0,
q029,rg,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,118.62,0,
q030,sgrep,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,832.24,0,
q030,rg,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,113.78,0,
