id,engine,query_type,query,target_file,rank,hit,latency_ms,exit,stderr
q0034,sgrep,semantic,code for get contributors,opencode/script/changelog.ts,33,1,923.43,0,
q0034,rg,semantic,code for get contributors,opencode/script/changelog.ts,,0,37.66,1,
q0035,sgrep,semantic,code for build notes,opencode/script/changelog.ts,,0,919.31,0,
q0035,rg,semantic,code for build notes,opencode/script/changelog.ts,,0,38.3,1,
q0036,sgrep,semantic,code for create opencode,opencode/github/index.ts,,0,1111.99,0,
q0036,rg,semantic,code for create opencode,opencode/github/index.ts,,0,39.72,1,
q0037,sgrep,semantic,code for assert payload keyword,opencode/github/index.ts,,0,904.68,0,
q0037,rg,semantic,code for assert payload keyword,opencode/github/index.ts,,0,38.32,1,
q0038,sgrep,semantic,code for get review comment context,opencode/github/index.ts,,0,918.54,0,
q0038,rg,semantic,code for get review comment context,opencode/github/index.ts,,0,36.78,1,
q0039,sgrep,semantic,code for assert opencode connected,opencode/github/index.ts,,0,918.36,0,
q0039,rg,semantic,code for assert opencode connected,opencode/github/index.ts,,0,37.8,1,
q0040,sgrep,semantic,code for assert context event,opencode/github/index.ts,,0,944.88,0,
q0040,rg,semantic,code for assert context event,opencode/github/index.ts,,0,37.0,1,
q0041,sgrep,semantic,code for use env model,opencode/github/index.ts,,0,927.06,0,
q0041,rg,semantic,code for use env model,opencode/github/index.ts,,0,38.41,1,
q0042,sgrep,semantic,code for use env run url,opencode/github/index.ts,,0,930.92,0,
q0042,rg,semantic,code for use env run url,opencode/github/index.ts,,0,36.71,1,
q0043,sgrep,semantic,code for use env agent,opencode/github/index.ts,,0,1049.46,0,
q0043,rg,semantic,code for use env agent,opencode/github/index.ts,,0,37.31,1,
q0044,sgrep,semantic,code for use env share,opencode/github/index.ts,,0,915.56,0,
q0044,rg,semantic,code for use env share,opencode/github/index.ts,,0,36.93,1,
q0045,sgrep,semantic,code for use env mock,opencode/github/index.ts,,0,939.75,0,
q0045,rg,semantic,code for use env mock,opencode/github/index.ts,,0,38.34,1,
q0046,sgrep,semantic,code for use env github token,opencode/github/index.ts,,0,947.01,0,
q0046,rg,semantic,code for use env github token,opencode/github/index.ts,,0,37.66,1,
q0047,sgrep,semantic,code for is mock,opencode/github/index.ts,,0,948.05,0,
q0047,rg,semantic,code for is mock,opencode/github/index.ts,,0,69.38,1,
q0048,sgrep,semantic,code for is pull request,opencode/github/index.ts,,0,1144.44,0,
q0048,rg,semantic,code for is pull request,opencode/github/index.ts,,0,69.15,1,
q0049,sgrep,semantic,code for use context,opencode/github/index.ts,,0,950.82,0,
q0049,rg,semantic,code for use context,opencode/github/index.ts,,0,69.81,1,
q0050,sgrep,semantic,code for use issue id,opencode/github/index.ts,,0,930.02,0,
q0050,rg,semantic,code for use issue id,opencode/github/index.ts,,0,38.15,1,
q0051,sgrep,semantic,code for use share url,opencode/github/index.ts,,0,912.75,0,
q0051,rg,semantic,code for use share url,opencode/github/index.ts,,0,35.94,1,
q0052,sgrep,semantic,code for get access token,opencode/github/index.ts,,0,922.69,0,
q0052,rg,semantic,code for get access token,opencode/github/index.ts,,0,38.0,1,
q0053,sgrep,semantic,code for response json,opencode/github/index.ts,,0,933.9,0,
q0053,rg,semantic,code for response json,opencode/github/index.ts,,0,39.1,1,
q0054,sgrep,semantic,code for response json,opencode/github/index.ts,,0,942.59,0,
q0054,rg,semantic,code for response json,opencode/github/index.ts,,0,37.68,1,
q0055,sgrep,semantic,code for create comment,opencode/github/index.ts,,0,930.62,0,
q0055,rg,semantic,code for create comment,opencode/github/index.ts,,0,37.25,1,
q0056,sgrep,semantic,code for get user prompt,opencode/github/index.ts,,0,936.51,0,
q0056,rg,semantic,code for get user prompt,opencode/github/index.ts,,0,40.57,1,
q0057,sgrep,semantic,code for subscribe session events,opencode/github/index.ts,,0,956.7,0,
q0057,rg,semantic,code for subscribe session events,opencode/github/index.ts,,0,39.21,1,
q0058,sgrep,semantic,code for resolve agent,opencode/github/index.ts,,0,925.47,0,
q0058,rg,semantic,code for resolve agent,opencode/github/index.ts,,0,40.75,1,
q0059,sgrep,semantic,code for configure git,opencode/github/index.ts,,0,927.68,0,
q0059,rg,semantic,code for configure git,opencode/github/index.ts,,0,37.55,1,
q0060,sgrep,semantic,code for restore git config,opencode/github/index.ts,,0,937.25,0,
q0060,rg,semantic,code for restore git config,opencode/github/index.ts,,0,37.13,1,
q0061,sgrep,semantic,code for checkout new branch,opencode/github/index.ts,,0,950.01,0,
q0061,rg,semantic,code for checkout new branch,opencode/github/index.ts,,0,38.31,1,
q0062,sgrep,semantic,code for checkout local branch,opencode/github/index.ts,,0,961.04,0,
q0062,rg,semantic,code for checkout local branch,opencode/github/index.ts,,0,40.38,1,
q0063,sgrep,semantic,code for checkout fork branch,opencode/github/index.ts,,0,976.17,0,
q0063,rg,semantic,code for checkout fork branch,opencode/github/index.ts,,0,38.27,1,
q0064,sgrep,semantic,code for generate branch name,opencode/github/index.ts,,0,954.28,0,
q0064,rg,semantic,code for generate branch name,opencode/github/index.ts,,0,37.58,1,
q0065,sgrep,semantic,code for push to new branch,opencode/github/index.ts,,0,1105.75,0,
q0065,rg,semantic,code for push to new branch,opencode/github/index.ts,,0,40.39,1,
q0066,sgrep,semantic,code for push to local branch,opencode/github/index.ts,,0,952.11,0,
q0066,rg,semantic,code for push to local branch,opencode/github/index.ts,,0,37.56,1,
q0067,sgrep,semantic,code for push to fork branch,opencode/github/index.ts,,0,933.8,0,
q0067,rg,semantic,code for push to fork branch,opencode/github/index.ts,,0,38.22,1,
q0068,sgrep,semantic,code for branch is dirty,opencode/github/index.ts,,0,910.13,0,
q0068,rg,semantic,code for branch is dirty,opencode/github/index.ts,,0,36.62,1,
q0069,sgrep,semantic,code for assert permissions,opencode/github/index.ts,,0,944.1,0,
q0069,rg,semantic,code for assert permissions,opencode/github/index.ts,,0,41.9,1,
q0070,sgrep,semantic,code for update comment,opencode/github/index.ts,,0,967.87,0,
q0070,rg,semantic,code for update comment,opencode/github/index.ts,,0,38.85,1,
q0071,sgrep,semantic,code for create pr,opencode/github/index.ts,,0,940.04,0,
q0071,rg,semantic,code for create pr,opencode/github/index.ts,,0,40.57,1,
q0072,sgrep,semantic,code for fetch repo,opencode/github/index.ts,,0,940.29,0,
q0072,rg,semantic,code for fetch repo,opencode/github/index.ts,,0,38.41,1,
q0073,sgrep,semantic,code for fetch issue,opencode/github/index.ts,,0,933.07,0,
q0073,rg,semantic,code for fetch issue,opencode/github/index.ts,,0,37.6,1,
q0074,sgrep,semantic,code for build prompt data for issue,opencode/github/index.ts,,0,944.64,0,
q0074,rg,semantic,code for build prompt data for issue,opencode/github/index.ts,,0,37.93,1,
q0075,sgrep,semantic,code for fetch pr,opencode/github/index.ts,,0,924.51,0,
q0075,rg,semantic,code for fetch pr,opencode/github/index.ts,,0,39.67,1,
q0076,sgrep,semantic,code for build prompt data for pr,opencode/github/index.ts,,0,980.25,0,
q0076,rg,semantic,code for build prompt data for pr,opencode/github/index.ts,,0,42.77,1,
q0077,sgrep,semantic,code for review data,opencode/github/index.ts,,0,909.5,0,
q0077,rg,semantic,code for review data,opencode/github/index.ts,,0,41.1,1,
q0078,sgrep,semantic,code for revoke app token,opencode/github/index.ts,,0,944.27,0,
q0078,rg,semantic,code for revoke app token,opencode/github/index.ts,,0,38.6,1,
q0079,sgrep,semantic,code for provider icons plugin,opencode/packages/ui/vite.config.ts,,0,931.27,0,
q0079,rg,semantic,code for provider icons plugin,opencode/packages/ui/vite.config.ts,,0,39.62,1,
